293.372 0.937737
293.372 1.33157
293.372 1.64337
293.372 2.45959
293.372 3.14385
295.101 4.23549
295.101 5.60701
298.559 7.42264
302.017 9.82620
310.663 12.5599
319.308 16.3380
327.954 18.1229
333.141 19.4360
340.058 20.4829
345.245 21.5863
352.161 22.3546
359.078 23.1503
365.994 23.5587
374.640 23.9743
383.285 23.9743
390.202 23.9743
397.118 23.9743
405.764 23.5587
412.680 23.1503
419.597 22.7490
426.513 22.3546
435.159 21.9671
443.804 21.2120
450.720 20.4829
457.637 19.7789
462.824 18.7680
469.741 18.1229
490.490 15.7750
511.239 13.0081
528.530 10.5400
544.092 8.39185
556.196 6.68149
570.029 5.13641
578.674 4.01847
589.049 3.08921
599.424 2.41684
608.069 1.85796
614.986 1.40349
627.089 0.905426
642.651 0.535089
653.026 0.327513
665.130 0.186885
677.233 0.104786
685.879 0.0652711
691.066 0.0428528
697.983 0.0281345
704.899 0.0187980
710.086 0.0127820
